description,latitude,longitude,windowStart,windowEnd,unloadingDuration,loadWeight,loadVolume
80002945,-23.456731,-47.478592,07:30:00,23:59:00,7,124.5,9.36
80002986,-23.454225,-47.490653,09:48:00,17:07:00,5,362.2,26.2
80003006,-23.388528,-47.341878,07:30:00,23:59:00,7,166.2,11.88
80003008,-23.518458,-47.59745,07:53:00,17:30:00,12,175.6,11.57
80003010,-23.4518,-47.475031,08:17:00,19:44:00,25,2522.04,188.315
80003050,-23.463042,-47.469342,07:30:00,23:59:00,11,130.03,9.39
80003061,-23.189281,-47.50315,07:30:00,23:59:00,6,122.77,9.13
80003064,-23.479764,-47.479867,08:54:00,11:17:00,18,228.46,16.4
80003096,-23.476528,-47.456128,10:57:00,16:59:00,17,860.82,61.23
80003104,-23.450028,-47.481458,11:04:00,15:07:00,11,391.19,28.37
80003110,-23.436044,-47.505783,09:24:00,16:16:00,21,1755.7,128.72
80003188,-23.515,-47.234,07:30:00,23:59:00,8,98.09,7.01
80003204,-23.505244,-47.616975,09:11:00,15:48:00,42,469.73,34.06
80003224,-23.256731,-47.306856,07:30:00,23:59:00,6,96.09,7.13
80003275,-23.262183,-47.351331,10:15:00,16:44:00,9,197.1,14.52
80003300,-23.383156,-47.331667,07:30:00,23:59:00,8,174.4,12.9
80003325,-23.465294,-47.470764,07:30:00,23:59:00,6,96.09,7.13
80003328,-23.462242,-47.441592,08:35:00,19:28:00,22,353.43,24.2
80003378,-23.569558,-47.674458,13:59:00,14:05:00,3,56.72,3.66
80003384,-23.413728,-47.410239,08:58:00,15:57:00,12,239.6,16.52
80003401,-23.534239,-47.461589,10:04:00,11:39:00,25,313.29,22.02
80003447,-23.204,-47.527,07:30:00,23:59:00,8,117,8.4
80003453,-23.527328,-47.468778,07:31:00,08:36:00,15,324.3,22.08
80003489,-23.551944,-47.601231,07:30:00,23:59:00,7,277.97,20.285
80003534,-23.250378,-47.317528,07:30:00,23:59:00,9,279.89,20.67
80003545,-23.213,-47.509,07:30:00,23:59:00,5,177.27,12.63
80003653,-23.508003,-47.615333,07:30:00,23:59:00,16,145.29,10.61
80003682,-23.2082,-47.521439,10:16:00,16:35:00,7,52.51,3.69
80003693,-23.253906,-47.316333,07:30:00,23:59:00,8,279.3,20.72
80003713,-23.504089,-47.619428,07:30:00,23:59:00,5,70.2,5.04
80003714,-23.493944,-47.473722,07:30:00,23:59:00,5,62.86,4.06
80003716,-23.3803,-47.332492,07:30:00,23:59:00,14,198.82,13.615
80003857,-23.241625,-47.323103,07:30:00,23:59:00,8,51.8,4
80003913,-23.516769,-47.440756,07:30:00,23:59:00,6,117,8.4
80003927,-23.505433,-47.472089,08:09:00,14:19:00,18,544.89,41.92
80003961,-23.708844,-47.420664,07:30:00,23:59:00,42,44.9,2.9
80003988,-23.257417,-47.306581,07:30:00,23:59:00,22,431.71,29.04
80004000,-23.641639,-47.575869,07:45:00,18:19:00,14,374.22,27.96
80004009,-23.350106,-47.692608,08:55:00,14:24:00,58,1541.899,101.479
80004038,-23.597,-47.738,07:30:00,23:59:00,10,155.4,12
80004039,-23.597275,-47.73815,12:17:00,15:42:00,12,413.4,30.34
80020019,-23.283781,-47.670683,12:01:00,14:56:00,12,151.25,14.1
80020021,-23.48715,-47.441475,08:40:00,15:35:00,11,196.23,14.84
80020026,-23.255283,-47.308403,09:32:00,15:20:00,15,1087.5,80.74
80020030,-23.529167,-47.433103,10:51:00,14:19:00,6,234,16.8
80020150,-23.505608,-47.429142,08:01:00,18:48:00,17,388.37,27.41
80020172,-23.469017,-47.485031,07:30:00,23:59:00,7,177.85,13.45
80020220,-23.531519,-47.473589,12:49:00,18:32:00,19,665.95,46.65
80020243,-23.513706,-47.429619,08:07:00,16:09:00,13,261.6,18.96
80020282,-23.443675,-47.470567,10:16:00,16:08:00,20,357.04,25.58
80020354,-23.557708,-47.557,07:30:00,23:59:00,15,372.03,27.59
80020361,-23.542311,-47.648269,07:30:00,23:59:00,2,117,8.4
80020449,-23.483828,-47.452431,15:21:00,21:48:00,18,466.2,36
80020453,-23.712917,-47.41015,07:30:00,23:59:00,14,288.58,20.06
80020462,-23.511981,-47.448642,07:30:00,23:59:00,5,77.7,6
80020479,-23.211953,-47.516811,11:40:00,15:30:00,14,436.85,33.45
80020482,-23.509208,-47.435431,07:24:00,16:30:00,16,416.68,29.44
80020514,-23.504536,-47.463572,07:30:00,23:59:00,13,1251.58,95.94
80020520,-23.454,-47.478,10:20:00,15:23:00,8,122.93,8.67
80020527,-23.451875,-47.487739,08:06:00,14:56:00,30,778.99,52.24
80020563,-23.470389,-47.475139,11:36:00,18:33:00,9,206.09,15.01
80020568,-23.583919,-47.485519,07:30:00,23:59:00,6,129.78,9.24
80020612,-23.449456,-47.483117,09:31:00,14:16:00,17,180.82,13.39
80020619,-23.392078,-47.340719,07:30:00,23:59:00,14,123.18,8.055
80020620,-23.383817,-47.353278,07:30:00,23:59:00,6,117,8.4
80020623,-23.286356,-47.666575,07:30:00,23:59:00,11,323.99,24.09
80020632,-23.48145,-47.477989,07:51:00,12:43:00,10,175.58,13.07
80020646,-23.352639,-47.6928,11:15:00,12:25:00,9,167.5,11.8
80020676,-23.538831,-47.492039,11:36:00,14:27:00,17,774.04,55.75
80020699,-23.286158,-47.292939,09:16:00,16:25:00,11,144.02,10.246
80020707,-23.520494,-47.440783,07:30:00,23:59:00,12,295.2,21.44
80020727,-23.70915,-47.4211,07:30:00,23:59:00,21,117,8.4
80020730,-23.460825,-47.473983,07:30:00,23:59:00,5,96.09,7.13
80020747,-23.486008,-47.430578,08:37:00,12:05:00,45,1300,116
80020770,-23.597389,-47.73745,13:46:00,15:56:00,13,481.85,35.79
80020776,-23.45615,-47.478483,07:30:00,23:59:00,10,44.9,2.9
80020797,-23.456767,-47.471664,10:06:00,16:53:00,17,244.6,17.94
80020798,-23.465469,-47.472644,09:21:00,15:22:00,13,865.95,62.79
80020827,-23.496303,-47.369406,08:10:00,15:31:00,3,49.39,3.19
80020835,-23.472867,-47.4736,10:00:00,15:32:00,3,69.76,5.16
80020844,-23.510944,-47.365261,08:39:00,15:36:00,9,103.6,7.22
80020859,-23.495578,-47.4337,12:51:00,17:19:00,10,142.9,10.4
80020866,-23.718256,-47.414672,07:30:00,23:59:00,18,443.78,29.092
80020910,-23.385094,-47.332881,08:11:00,15:05:00,19,773.12,55.44
80020924,-23.4697,-47.485758,07:58:00,17:11:00,63,1777.83,124.29
80020939,-23.786458,-47.55305,07:30:00,23:59:00,5,215.75,15.59
80020944,-23.203108,-47.526689,10:56:00,13:18:00,9,278.99,20.21
80020960,-23.486081,-47.464456,07:30:00,23:59:00,10,218,15.88
80020977,-23.504667,-47.452908,07:30:00,23:59:00,9,117,8.4
80020978,-23.475942,-47.4627,07:30:00,23:59:00,10,75.1,5.48
80021011,-23.377342,-47.328914,07:30:00,23:59:00,5,25.9,2
80021014,-23.530608,-47.2561,10:37:00,17:43:00,14,578.6,44
80021044,-23.517592,-47.43555,09:20:00,16:36:00,11,309.7,22.92
80021085,-23.469439,-47.486353,07:30:00,23:59:00,5,51.8,4
80021107,-23.529467,-47.495475,07:29:00,14:16:00,8,300.83,21.11
80021125,-23.478928,-47.449319,09:29:00,14:48:00,17,222.06,16.2
80021130,-23.2642,-47.672908,10:27:00,16:17:00,13,595.7,46
80021139,-23.51935,-47.258514,07:30:00,23:59:00,5,35.99,2.58
80021144,-23.423825,-47.413192,07:30:00,23:59:00,26,730.1,50.6
80021146,-23.515636,-47.462711,07:37:00,10:28:00,27,1143.56,83.18
80021154,-23.497181,-47.440631,08:17:00,13:30:00,7,115.7,7.8
80021178,-23.4548,-47.473208,07:30:00,23:59:00,12,334.57,24.31
80021190,-23.382742,-47.331458,08:08:00,16:30:00,11,387.6,27.2
80021194,-23.560908,-47.330339,14:31:00,20:41:00,9,451.28,30.555
80021198,-23.804058,-47.735828,08:42:00,14:38:00,15,388.5,30
80021199,-23.449758,-47.479381,11:04:00,14:32:00,12,346.46,24.85
80021202,-23.264,-47.28,07:30:00,23:59:00,6,122.06,8.01
80021250,-23.406,-47.352,07:30:00,23:59:00,9,199.98,14.28
80021261,-23.5466,-47.462858,11:32:00,14:56:00,6,126.9,9.48
80021292,-23.281128,-47.686272,11:20:00,16:02:00,19,1158.0975,85.95
80021299,-23.813139,-47.721708,09:52:00,13:36:00,11,98.4,6.96
80021301,-23.508128,-47.428681,08:23:00,13:48:00,11,70.2,5.04
80021315,-23.351631,-47.691969,09:02:00,15:58:00,39,1621.13,116.62
80021327,-23.4624,-47.479039,08:25:00,15:12:00,80,2244.3,155.01
80021334,-23.707094,-47.435408,07:30:00,23:59:00,5,25.9,2
80021336,-23.454956,-47.473558,08:30:00,16:15:00,23,258.67,18.69
80021338,-23.467725,-47.501892,09:45:00,14:37:00,9,297.58,20.955
80021367,-23.705228,-47.423008,07:30:00,23:59:00,14,298.88,21.555
80021455,-23.489344,-47.464583,07:30:00,23:59:00,6,117,8.4
80021462,-23.534,-47.463,08:53:00,14:37:00,22,293.47,30.07
80021467,-23.481183,-47.468853,09:38:00,14:07:00,6,109.99,7.97
80021496,-23.492042,-47.466639,07:30:00,23:59:00,6,117,8.4
80021533,-23.291117,-47.665769,10:52:00,15:55:00,10,613.4,46.2
80021542,-23.508392,-47.449628,09:06:00,16:41:00,11,96.09,7.13
80021545,-23.213469,-47.511439,07:30:00,23:59:00,6,72.79,4.87
80021547,-23.202,-47.527,11:02:00,16:35:00,22,400.99,29.25
80021551,-23.470469,-47.584878,08:38:00,17:01:00,8,265.16,19.22
80021552,-23.505558,-47.619739,07:30:00,23:59:00,6,117,8.4
80021557,-23.453,-47.468,08:43:00,14:49:00,13,206.8,14.2
80021560,-23.511858,-47.2354,07:30:00,23:59:00,4,110.61,7.65
80021572,-23.291792,-47.662683,10:41:00,15:47:00,12,373.76,27.24
80021652,-23.496442,-47.466503,09:31:00,12:25:00,16,310.18,26.48
80021689,-23.379869,-47.331997,07:30:00,23:59:00,14,155.4,12
80021744,-23.747478,-47.531628,07:30:00,23:59:00,7,363.5,26.8
80021758,-23.506406,-47.613156,10:48:00,14:14:00,15,427,31.36
80021769,-23.510889,-47.251958,11:41:00,14:07:00,10,77.7,6
80021771,-23.493231,-47.462367,07:30:00,23:59:00,12,210.8,14.96
80021778,-23.518986,-47.256525,07:30:00,23:59:00,6,288.3,21.12
80021785,-23.383278,-47.352908,07:30:00,23:59:00,6,70.2,5.04
